D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
3,18,1,15,"T(18, 3, 1)",0.40925464358,"(1, 3)",1.0,"(1, 4)",0.99999999999999856,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.629661422484,"(1, 5)",0.749173336224,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,18,2,14,"T(18, 3, 2)",0.305134284916,"(1, 4)",0.507033487675,"(2, 4)",0.99999999999999933,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.437279714965,"(2, 6)",0.599578078486,"(1, 4)",0.507033487675,"(2, 4)",1.0,HE
3,18,3,13,"T(18, 3, 3)",0.253544730257,"(1, 5)",0.398221375778,"(2, 5)",0.57695721385514287,"[(1, 5), (2, 5)]",0.576957213855,"(1, 6)",0.355539651217,"(2, 7)",0.47148553886,"(1, 5)",0.398221375778,"(2, 5)",0.576957213855,HE
3,18,4,12,"T(18, 3, 4)",0.223373782469,"(1, 6)",0.341219261605,"(2, 6)",0.47128028070062949,"[(1, 6), (2, 6)]",0.471280280701,"(1, 7)",0.310044582117,"(2, 8)",0.405572531455,"(1, 6)",0.341219261605,"(2, 6)",0.471280280701,HE
3,18,5,11,"T(18, 3, 5)",0.20466502723,"(1, 7)",0.30709868078,"(2, 7)",0.41389810489867201,"[(1, 7), (2, 7)]",0.413898104899,"(1, 8)",0.282492474292,"(2, 9)",0.366938421862,"(1, 7)",0.30709868078,"(2, 7)",0.413898104899,HE
3,18,6,10,"T(18, 3, 6)",0.19318784316,"(1, 8)",0.285991017978,"(2, 8)",0.37923131971528307,"[(1, 8), (2, 8)]",0.379231319715,"(1, 9)",0.265805489175,"(2, 10)",0.343927139408,"(1, 8)",0.285991017978,"(2, 8)",0.379231319715,HE
3,18,7,9,"T(18, 3, 7)",0.186922708836,"(1, 9)",0.273567042888,"(2, 9)",0.35820002649041094,"[(1, 9), (2, 9)]",0.35820002649,"(1, 10)",0.256759731448,"(2, 11)",0.331562516037,"(1, 9)",0.273567042888,"(2, 9)",0.35820002649,HE
3,18,8,8,"T(18, 3, 8)",0.184927093633,"(1, 10)",0.267777350535,"(2, 10)",0.34677706703878375,"[(1, 10), (2, 10)]",0.346777067039,"(1, 11)",0.253887367461,"(2, 12)",0.327651476439,"(1, 10)",0.267777350535,"(2, 10)",0.346777067039,HE
3,19,1,16,"T(19, 3, 1)",0.407682736047,"(1, 3)",1.0,"(1, 4)",0.99999999999999922,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.627091325029,"(1, 5)",0.746111133821,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
3,19,2,15,"T(19, 3, 2)",0.302879241322,"(1, 4)",0.504726933058,"(2, 4)",0.99999999999999889,"[(1, 4), (2, 4)]",1.0,"(1, 5)",0.433878061239,"(2, 6)",0.594499622507,"(1, 4)",0.504726933058,"(2, 4)",1.0,HE
3,19,3,14,"T(19, 3, 3)",0.250663255991,"(1, 5)",0.394885111587,"(2, 5)",0.57395387423522148,"[(1, 5), (2, 5)]",0.573953874235,"(1, 6)",0.351316353224,"(2, 7)",0.465544091774,"(1, 5)",0.394885111587,"(2, 5)",0.573953874235,HE
3,19,4,13,"T(19, 3, 4)",0.219826050305,"(1, 6)",0.336917959099,"(2, 6)",0.46688087072989631,"[(1, 6), (2, 6)]",0.46688087073,"(1, 7)",0.304920450216,"(2, 8)",0.398532422376,"(1, 6)",0.336917959099,"(2, 6)",0.46688087073,HE
3,19,5,12,"T(19, 3, 5)",0.200352761668,"(1, 7)",0.301755704134,"(2, 7)",0.40816650340073329,"[(1, 7), (2, 7)]",0.408166503401,"(1, 8)",0.276315155997,"(2, 9)",0.358553154549,"(1, 7)",0.301755704134,"(2, 7)",0.408166503401,HE
3,19,6,11,"T(19, 3, 6)",0.187954524964,"(1, 8)",0.27943864669,"(2, 8)",0.3720423514341204,"[(1, 8), (2, 8)]",0.372042351434,"(1, 9)",0.258342613226,"(2, 10)",0.333861433204,"(1, 8)",0.27943864669,"(2, 8)",0.372042351434,HE
3,19,7,10,"T(19, 3, 7)",0.180537477007,"(1, 9)",0.265541295069,"(2, 9)",0.34929843507871572,"[(1, 9), (2, 9)]",0.349298435079,"(1, 10)",0.247672036265,"(2, 11)",0.319340184596,"(1, 9)",0.265541295069,"(2, 9)",0.349298435079,HE
3,19,8,9,"T(19, 3, 8)",0.17705174438,"(1, 10)",0.257886159414,"(2, 10)",0.3357622560448088,"[(1, 10), (2, 10)]",0.335762256045,"(1, 11)",0.242677138511,"(2, 12)",0.312575949432,"(1, 10)",0.257886159414,"(2, 10)",0.335762256045,HE
3,20,1,17,"T(20, 3, 1)",0.4062823061,"(1, 3)",1.0,"(1, 4)",0.99999999999999856,"[(1, 3), (1, 4)]",1.0,"(1, 4)",0.624806337375,"(1, 5)",0.743390781037,"(1, 3)",1.0,Grafo nao suportado,Grafo nao suportado,NA
