D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Efb2,G + Efb2,Arestas Efb*,G + Efb*,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2,Melhor Heurística
6,16,1,10,"T(16, 6, 1)",0.108606235203,"(2, 6)",0.384998751172,"(3, 6)",0.5315484699055989,"[(1, 6), (3, 6)]",0.612116027506,"(1, 7)",0.275433966042,"(2, 8)",0.41542518522,"(1, 6)",0.342699273413,"(3, 6)",0.612116027506,HE
6,17,1,11,"T(17, 6, 1)",0.106458187996,"(2, 6)",0.378833305025,"(3, 6)",0.52642825762357193,"[(1, 6), (3, 6)]",0.605392273255,"(1, 7)",0.269074959246,"(2, 8)",0.405081440371,"(1, 6)",0.336991347054,"(3, 6)",0.605392273255,HE
6,18,1,12,"T(18, 6, 1)",0.104620860707,"(2, 6)",0.373539293054,"(3, 6)",0.52196294774865826,"[(1, 6), (3, 6)]",0.599578078486,"(1, 7)",0.26368809734,"(2, 8)",0.396370809529,"(1, 6)",0.332097978868,"(3, 6)",0.599578078486,HE
6,19,1,13,"T(19, 6, 1)",0.103031307096,"(2, 6)",0.368943460663,"(3, 6)",0.51803516643559755,"[(1, 6), (3, 6)]",0.594499622507,"(1, 7)",0.259065122391,"(2, 8)",0.388931836148,"(1, 6)",0.32785559755,"(3, 6)",0.594499622507,HE
6,20,1,14,"T(20, 6, 1)",0.101642524001,"(2, 6)",0.364915772254,"(3, 6)",0.51455380794065497,"[(1, 6), (3, 6)]",0.59002492347,"(1, 7)",0.255053567079,"(2, 8)",0.382503092709,"(1, 6)",0.324141860546,"(3, 6)",0.59002492347,HE
7,8,1,1,"T(8, 7, 1)",0.152240934977,"(1, 8)",0.585786437627,"(1, 3)",0.58578643762690508,"[(1, 6), (3, 8)]",1.0,"(1, 8)",0.585786437627,"(1, 5)",0.585786437627,"(1, 7)",0.491518800819,"(3, 7)",0.694227852001,HE
7,9,1,2,"T(9, 7, 1)",0.128875098643,"(2, 7)",0.489243085812,"(3, 7)",0.58578643762690419,"[(1, 7), (3, 8)]",0.655238555355,"(1, 8)",0.413094015707,"(3, 9)",0.585786437627,"(1, 7)",0.411636009315,"(3, 7)",0.636046611561,HE
7,10,1,3,"T(10, 7, 1)",0.114796625444,"(2, 7)",0.43665006013,"(3, 7)",0.58578643762690519,"[(1, 7), (3, 7)]",0.594032035819,"(1, 8)",0.345682880224,"(3, 9)",0.585786437627,"(1, 7)",0.367607188292,"(3, 7)",0.594032035819,HE
7,11,1,4,"T(11, 7, 1)",0.105393413918,"(2, 7)",0.40277597731,"(3, 7)",0.58039922982794601,"[(2, 7), (3, 7)]",0.580399229828,"(1, 8)",0.307108850801,"(3, 9)",0.537061498511,"(1, 7)",0.339116582699,"(3, 7)",0.563696898818,HE
7,12,1,5,"T(12, 7, 1)",0.098668520683,"(2, 7)",0.378932396023,"(3, 7)",0.55406147779615023,"[(2, 7), (3, 7)]",0.554061477796,"(1, 8)",0.281719936016,"(3, 9)",0.481519865312,"(1, 7)",0.319014061561,"(3, 7)",0.540946495349,HE
7,13,1,6,"T(13, 7, 1)",0.093619994256,"(2, 7)",0.361166594647,"(3, 7)",0.53404199523942275,"[(2, 7), (3, 7)]",0.534041995239,"(1, 8)",0.263627783595,"(3, 9)",0.444507008414,"(1, 7)",0.304014590502,"(3, 7)",0.52328004205,HE
7,14,1,7,"T(14, 7, 1)",0.08969022854,"(2, 7)",0.347387116594,"(3, 7)",0.51827314438682992,"[(2, 7), (3, 7)]",0.518273144387,"(1, 8)",0.250040022168,"(3, 9)",0.417803992637,"(1, 7)",0.292370330831,"(3, 7)",0.509167296609,HE
7,15,1,8,"T(15, 7, 1)",0.086544275887,"(2, 7)",0.336373243566,"(3, 7)",0.5055125305667747,"[(2, 7), (3, 7)]",0.505512530567,"(1, 8)",0.239442641393,"(3, 9)",0.397529251275,"(1, 7)",0.283057560871,"(3, 7)",0.497632357927,HE
7,16,1,9,"T(16, 7, 1)",0.083968796449,"(2, 7)",0.32736085234,"(3, 7)",0.49496435614036638,"[(2, 7), (3, 7)]",0.49496435614,"(1, 8)",0.230937625635,"(3, 9)",0.381567101208,"(1, 7)",0.275433966042,"(3, 7)",0.488026135258,HE
7,17,1,10,"T(17, 7, 1)",0.081821454982,"(2, 7)",0.319845670883,"(3, 7)",0.4860934676581174,"[(2, 7), (3, 7)]",0.486093467658,"(1, 8)",0.223956413651,"(3, 9)",0.368652409569,"(1, 7)",0.269074959246,"(3, 7)",0.479900695104,HE
7,18,1,11,"T(18, 7, 1)",0.080003644996,"(2, 7)",0.313480790215,"(3, 7)",0.47852586732928581,"[(2, 7), (3, 7)]",0.478525867329,"(1, 8)",0.218120601395,"(3, 9)",0.357977111737,"(1, 7)",0.26368809734,"(3, 7)",0.472937048574,HE
7,19,1,12,"T(19, 7, 1)",0.07844489023,"(2, 7)",0.308019389256,"(3, 7)",0.47199186802046134,"[(2, 7), (3, 7)]",0.47199186802,"(1, 8)",0.213168163932,"(3, 9)",0.34899874905,"(1, 7)",0.259065122391,"(3, 7)",0.466901866132,HE
7,20,1,13,"T(20, 7, 1)",0.077093479283,"(2, 7)",0.303280893921,"(3, 7)",0.46629186886704721,"[(2, 7), (3, 7)]",0.466291868867,"(1, 8)",0.208911705353,"(3, 9)",0.341338631,"(1, 7)",0.255053567079,"(3, 7)",0.461620510426,HE
8,9,1,1,"T(9, 8, 1)",0.120614758428,"(1, 9)",0.467911113762,"(1, 3)",0.46791111376204397,"[(1, 6), (3, 9)]",0.697224362268,"(1, 9)",0.467911113762,"(1, 5)",0.467911113762,"(1, 8)",0.413094015707,"(4, 8)",0.585786437627,HE
8,10,1,2,"T(10, 8, 1)",0.102880018744,"(2, 8)",0.410703535892,"(5, 9)",0.51120187397476313,"[(1, 8), (4, 8)]",0.585786437627,"(1, 9)",0.348906591063,"(3, 10)",0.463898670881,"(1, 8)",0.345682880224,"(4, 8)",0.585786437627,HE
8,11,1,3,"T(11, 8, 1)",0.091712846307,"(2, 8)",0.367442859714,"(4, 8)",0.5065236368341598,"[(1, 8), (4, 8)]",0.577554866771,"(1, 9)",0.293530809899,"(3, 10)",0.45507223694,"(1, 8)",0.307108850801,"(4, 8)",0.577554866771,HE
8,12,1,4,"T(12, 8, 1)",0.084068250309,"(2, 8)",0.33785467321,"(4, 9)",0.50449234339507465,"[(1, 8), (4, 8)]",0.53869713063,"(1, 9)",0.260435571805,"(3, 10)",0.434834546415,"(1, 8)",0.281719936016,"(4, 8)",0.53869713063,HE
8,13,1,5,"T(13, 8, 1)",0.078515312108,"(2, 8)",0.316527374179,"(4, 8)",0.50041317143889663,"[(1, 8), (4, 8)]",0.510537516833,"(1, 9)",0.238200498167,"(3, 10)",0.405369040907,"(1, 8)",0.263627783595,"(4, 8)",0.510537516833,HE
8,14,1,6,"T(14, 8, 1)",0.074301805351,"(2, 8)",0.300430235436,"(4, 8)",0.49273279745343529,"[(2, 8), (4, 8)]",0.492732797453,"(1, 9)",0.222163260228,"(3, 10)",0.378362519945,"(1, 8)",0.250040022168,"(4, 8)",0.489096584108,HE
8,15,1,7,"T(15, 8, 1)",0.070996407038,"(2, 8)",0.287842530732,"(4, 8)",0.48203196526782849,"[(2, 8), (4, 8)]",0.482031965268,"(1, 9)",0.210022354913,"(3, 10)",0.356672968691,"(1, 8)",0.239442641393,"(4, 8)",0.472183595608,HE
8,16,1,8,"T(16, 8, 1)",0.06833460745,"(2, 8)",0.277723954308,"(4, 8)",0.47096922140834435,"[(2, 8), (4, 8)]",0.470969221408,"(1, 9)",0.200499567268,"(3, 10)",0.339411270734,"(1, 8)",0.230937625635,"(4, 8)",0.458480230645,HE
8,17,1,9,"T(17, 8, 1)",0.066145357286,"(2, 8)",0.269409417908,"(4, 8)",0.46087282622649794,"[(2, 8), (4, 8)]",0.460872826226,"(1, 9)",0.192824488769,"(3, 10)",0.325470698817,"(1, 8)",0.223956413651,"(4, 8)",0.44714078048,HE
8,18,1,10,"T(18, 8, 1)",0.064313208334,"(2, 8)",0.262453771668,"(4, 8)",0.45197838429077025,"[(2, 8), (4, 8)]",0.451978384291,"(1, 9)",0.186503727557,"(3, 10)",0.314012291607,"(1, 8)",0.218120601395,"(4, 8)",0.437595713437,HE
8,19,1,11,"T(19, 8, 1)",0.062757448438,"(2, 8)",0.256547668877,"(4, 8)",0.44419503731337001,"[(2, 8), (4, 8)]",0.444195037313,"(1, 9)",0.181206071269,"(3, 10)",0.304439007146,"(1, 8)",0.213168163932,"(4, 8)",0.429446481019,HE
8,20,1,12,"T(20, 8, 1)",0.061419964531,"(2, 8)",0.251469333141,"(4, 8)",0.43736833748200327,"[(2, 8), (4, 8)]",0.437368337482,"(1, 9)",0.176700632194,"(3, 10)",0.296325200963,"(1, 8)",0.208911705353,"(4, 8)",0.422405346951,HE
9,10,1,1,"T(10, 9, 1)",0.09788696741,"(1, 10)",0.38196601125,"(1, 3)",0.38196601125010582,"[(1, 7), (3, 10)]",0.585786437627,"(1, 10)",0.38196601125,"(2, 7)",0.38196601125,"(1, 9)",0.348906591063,"(4, 9)",0.460773434264,HE
9,11,1,2,"T(11, 9, 1)",0.08417554853,"(2, 10)",0.341831987577,"(1, 11)",0.35397903327795166,"[(1, 8), (4, 10)]",0.483420182548,"(1, 10)",0.296803917995,"(4, 11)",0.38196601125,"(1, 9)",0.293530809899,"(4, 9)",0.450636810338,HE
